user_id,num_review,num_reviewed_business,date_first,date_last,date_avg,num_avg_review,var_review_date,avg_review_star,frequent_star,range_star,var_star,avg_star_subtract_busi_star,avg_words_of_review
Qh5A5NlP4UVvddSasOYR4A,2,2,2010,2010,2010,2.0,0.0,5.0,5,0,0.0,0,65.5
o9sAqYMC7vr2uzakjbYLfg,5,5,2013,2014,2013,2.5,1.0,4.2,5,4,12.8,0,96.0
SGV3RcLpE5i5pWGmABZXOw,4,4,2015,2015,2015,4.0,0.0,4.0,5,4,12.0,0,62.375
dEWSvpwZVojj60B10-i_eA,2,2,2015,2015,2015,2.0,0.0,4.0,4,0,0.0,0,36.0
8J8E1srQFZBV1TvGtubORw,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,42
tP5PcqDkiSaq40i4SDFWsg,4,4,2015,2015,2015,4.0,0.0,4.0,4,2,2.0,0,117.25
_s6X07-_FMB0bgPbXya7PQ,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,44
TvZkQUkNk-KBbrr6mpmWsA,3,3,2014,2015,2014,1.5,2.0,2.33333333333,1,3,4.66666666667,0,255.5
Ca7_5ic85ja1qkY5HE7NoA,3,3,2014,2015,2014,1.5,1.0,4.0,3,2,2.0,0,147.5
0orOYPUZe-qBINFe4y1TWA,2,2,2015,2015,2015,2.0,0.0,4.5,4,1,0.5,0,81.0
mq425zE6VvP70FnMm1afnw,5,5,2013,2015,2014,1.66666666667,3.0,3.4,5,4,13.2,0,72.875
odWy8hXgBLLqk57paHUjSA,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,64
nB8jGRnXcRLt-s9UdT_PhQ,1,1,2013,2013,2013,1.0,0.0,5.0,5,0,0.0,0,85
cmmLV9IweXY5vr88ZXVQkQ,2,2,2015,2015,2015,2.0,0.0,4.5,4,1,0.5,0,34.5
3d2VY6HzbBEcgwq65GfcdQ,1,1,2010,2010,2010,1.0,0.0,4.0,4,0,0.0,0,55
K567wHNHUpDNPyI5jQvbhQ,7,7,2012,2014,2013,2.33333333333,6.0,3.14285714286,1,4,24.8571428571,0,127.859375
OQzljIBI2mtwlcr0KaiKrw,1,1,2015,2015,2015,1.0,0.0,4.0,4,0,0.0,0,129
beBq8rUB10h_8H-XgC0GOQ,3,3,2014,2015,2014,1.5,2.0,3.33333333333,1,4,8.66666666667,0,162.0
hGS8BOAsmcMiBSgHwWYq-w,4,4,2015,2015,2015,4.0,0.0,3.5,5,4,11.0,0,46.0
WAk-Z4mEn-Mla7iQaNfLKg,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,17
i0drKOIe_Qh-RgF-T9_agg,1,1,2011,2011,2011,1.0,0.0,3.0,3,0,0.0,0,243
O4C_qLuxJL_XiB8AeJ5fEA,1,1,2014,2014,2014,1.0,0.0,5.0,5,0,0.0,0,120
NdHppHlnbZ2ATXJXvIQRTA,1,1,2014,2014,2014,1.0,0.0,5.0,5,0,0.0,0,79
KGzkjtJrHZc7jjHhigZjzg,3,3,2015,2015,2015,3.0,0.0,2.33333333333,1,4,10.6666666667,0,95.0
h_Eo3OBpDNE8iMq0GUqCUQ,2,2,2014,2014,2014,2.0,0.0,2.5,2,1,0.5,0,29.0
2jZ9ABA3_YtzlVfDjxchtw,2,2,2012,2012,2012,2.0,0.0,2.5,1,3,4.5,0,411.0
Ypmb_v4V4GnIonOHv-bOMg,8,8,2012,2015,2014,2.0,11.0,3.875,5,4,14.875,0,146.203125
BgU3qqt-891kxh4NZ0ck3g,5,5,2012,2014,2012,1.66666666667,5.0,4.2,5,4,12.8,0,52.625
UuV4f20TMLIORUcu88eQSw,1,1,2011,2011,2011,1.0,0.0,4.0,4,0,0.0,0,69
ANPKp70hRcPTHJQpmRb3Mw,2,2,2015,2015,2015,2.0,0.0,4.0,3,2,2.0,0,140.0
616rMnJPxL2WFWfLMk44eg,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,241
_Ik79FJvDRklDjk2gY7FjQ,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,64
HHZIIkdCFnS_0Oo8IE4RCQ,1,1,2014,2014,2014,1.0,0.0,5.0,5,0,0.0,0,31
B1kUxAfIAUDpn6ABRcsqKg,15,15,2013,2013,2013,15.0,0.0,3.73333333333,3,4,16.9333333333,0,67.2866210938
AOMCATfCIqpWe5AjjOsgBw,1,1,2015,2015,2015,1.0,0.0,4.0,4,0,0.0,0,8
QLxlP_por5ooiSGE43cvpQ,4,4,2015,2015,2015,4.0,0.0,3.75,4,3,4.75,0,80.625
7NSUuh4ahaZtL-zW4MJxUg,2,2,2014,2014,2014,2.0,0.0,3.5,2,3,4.5,0,280.0
z5RVjS_ammYvmYw3L7Aeig,2,2,2015,2015,2015,2.0,0.0,3.0,1,4,8.0,0,59.5
98GcVoVB3hIA2mKL-ctAhQ,1,1,2015,2015,2015,1.0,0.0,2.0,2,0,0.0,0,71
4VL4atzX4gUiOF45uuPydA,5,5,2013,2015,2013,1.66666666667,4.0,1.8,1,2,2.8,0,185.0625
vUUX8GGbqzwvdR0EuwQ9ug,7,7,2010,2014,2011,1.4,11.0,3.85714285714,4,2,2.85714285714,0,397.34375
zn9bOAiqawLm5zqWwKHupg,2,2,2015,2015,2015,2.0,0.0,3.5,3,1,0.5,0,51.0
q2W99sYSvk1xyoAQzBTvvQ,5,5,2013,2014,2013,2.5,2.0,3.2,4,4,10.8,0,64.8125
vg76can0fkN_r_FvharTFQ,2,2,2014,2014,2014,2.0,0.0,4.0,4,0,0.0,0,23.0
gbAhKi-xIqSrP7qWdmu5Yw,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,5
mDpkdQgYKRz8e2spEdHV_w,1,1,2012,2012,2012,1.0,0.0,5.0,5,0,0.0,0,116
bIzYS_Ces4_cs5Ub8VnU6w,2,2,2015,2015,2015,2.0,0.0,5.0,5,0,0.0,0,109.0
ZYozfz8ccYdiBqxK4VISVg,1,1,2012,2012,2012,1.0,0.0,3.0,3,0,0.0,0,139
