label,user_id,since,elite,friends,fans,rating,compli_type,compli_num,vote_type,vote_num,num_review,num_reviewed_business,date_first,date_last,date_avg,num_avg_review,var_review_date,avg_review_star,frequent_star,range_star,var_star,avg_star_subtract_busi_star,avg_words_of_review,cc_size,cc_avg_star,cc_var_star,cc_avg_date,cc_avg_elite
1,5QA888BgPj1Ln3Vqla99hg,2012,0,0,0,3.0,0,0,3,0,1,1,2012,2012,2012,1.0,0.0,4.0,4,0,0.0,0,23,1,4.5,0,2012,0
1,nB8jGRnXcRLt-s9UdT_PhQ,2012,0,29,3,5.0,1,1,3,6,1,1,2013,2013,2013,1.0,0.0,5.0,5,0,0.0,0,85,1,4.5,0,2012,0
1,SGV3RcLpE5i5pWGmABZXOw,2014,0,0,0,3.4,2,2,3,46,4,4,2015,2015,2015,4.0,0.0,4.0,5,4,12.0,0,62.375,1,4.5,0,2012,0
1,qQIuKgVBZp380HF9fatm4w,2015,0,0,0,4.67,0,0,3,1,1,1,2015,2015,2015,1.0,0.0,4.0,4,0,0.0,0,61,1,4.5,0,2012,0
1,8J8E1srQFZBV1TvGtubORw,2009,0,0,0,5.0,1,1,3,6,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,42,1,4.5,0,2012,0
1,tP5PcqDkiSaq40i4SDFWsg,2014,0,0,0,3.71,0,0,3,6,4,4,2015,2015,2015,4.0,0.0,4.0,4,2,2.0,0,117.25,1,4.5,0,2012,0
1,_s6X07-_FMB0bgPbXya7PQ,2012,0,0,0,5.0,0,0,3,1,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,44,1,4.5,0,2012,0
1,TvZkQUkNk-KBbrr6mpmWsA,2013,0,3,1,2.75,1,1,3,3,3,3,2014,2015,2014,1.5,2.0,2.33333333333,1,3,4.66666666667,0,255.5,1,4.5,0,2012,0
1,Ca7_5ic85ja1qkY5HE7NoA,2014,0,0,0,3.4,0,0,3,3,3,3,2014,2015,2014,1.5,1.0,4.0,3,2,2.0,0,147.5,1,4.5,0,2012,0
1,0orOYPUZe-qBINFe4y1TWA,2011,0,0,0,4.0,0,0,3,32,2,2,2015,2015,2015,2.0,0.0,4.5,4,1,0.5,0,81.0,1,4.5,0,2012,0
1,mq425zE6VvP70FnMm1afnw,2013,0,0,0,3.86,1,1,3,9,5,5,2013,2015,2014,1.66666666667,3.0,3.4,5,4,13.2,0,72.875,1,4.5,0,2012,0
1,odWy8hXgBLLqk57paHUjSA,2013,0,0,0,2.33,0,0,3,6,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,64,1,4.5,0,2012,0
1,o9sAqYMC7vr2uzakjbYLfg,2012,0,14,2,4.0,0,0,3,28,5,5,2013,2014,2013,2.5,1.0,4.2,5,4,12.8,0,96.0,1,4.5,0,2012,0
1,cmmLV9IweXY5vr88ZXVQkQ,2013,0,0,0,4.75,0,0,3,1,2,2,2015,2015,2015,2.0,0.0,4.5,4,1,0.5,0,34.5,1,4.5,0,2012,0
1,weGAeiFXG2BWsngQYs364Q,2015,0,0,0,3.67,0,0,3,2,3,3,2015,2015,2015,3.0,0.0,3.66666666667,5,4,10.6666666667,0,192.25,1,4.5,0,2012,0
1,0qyfOqyAusoCqgK00dS2Iw,2013,0,5,0,3.4,0,0,3,6,2,2,2014,2014,2014,2.0,0.0,5.0,5,0,0.0,0,55.5,1,4.5,0,2012,0
1,MgM1QYyaLYmfjdesfYDLrg,2011,0,0,1,2.52,0,0,3,25,22,22,2011,2015,2011,4.4,61.0,2.59090909091,4,3,31.3181818182,0,77.200489521,1,4.5,0,2012,0
1,beBq8rUB10h_8H-XgC0GOQ,2013,0,2,0,3.33,1,1,3,6,3,3,2014,2015,2014,1.5,2.0,3.33333333333,1,4,8.66666666667,0,162.0,1,4.5,0,2012,0
1,hGS8BOAsmcMiBSgHwWYq-w,2015,0,0,0,4.0,0,0,3,4,4,4,2015,2015,2015,4.0,0.0,3.5,5,4,11.0,0,46.0,1,4.5,0,2012,0
1,-nks1t_cm7NQVD8SUfXEVw,2014,0,1,0,2.86,1,1,3,24,5,5,2014,2015,2014,2.5,2.0,2.6,1,4,13.2,0,75.8125,1,4.5,0,2012,0
1,QzF5CLvJbwxHl_csMq4fmg,2015,0,0,0,3.0,0,0,3,0,4,4,2015,2015,2015,4.0,0.0,3.0,1,4,16.0,0,60.625,1,4.5,0,2012,0
1,i0drKOIe_Qh-RgF-T9_agg,2010,0,1,0,3.92,2,2,3,22,1,1,2011,2011,2011,1.0,0.0,3.0,3,0,0.0,0,243,1,4.5,0,2012,0
1,O4C_qLuxJL_XiB8AeJ5fEA,2014,0,0,0,5.0,0,0,3,0,1,1,2014,2014,2014,1.0,0.0,5.0,5,0,0.0,0,120,1,4.5,0,2012,0
1,KGzkjtJrHZc7jjHhigZjzg,2015,0,0,0,2.33,0,0,3,3,3,3,2015,2015,2015,3.0,0.0,2.33333333333,1,4,10.6666666667,0,95.0,1,4.5,0,2012,0
1,2mNKBE6y4tIw6tgN0Q97dQ,2014,0,0,0,3.0,0,0,3,16,2,2,2015,2015,2015,2.0,0.0,3.5,2,3,4.5,0,380.5,1,4.5,0,2012,0
1,2jZ9ABA3_YtzlVfDjxchtw,2012,0,2,0,3.33,0,0,3,6,2,2,2012,2012,2012,2.0,0.0,2.5,1,3,4.5,0,411.0,1,4.5,0,2012,0
1,Ypmb_v4V4GnIonOHv-bOMg,2012,0,23,0,3.88,2,2,3,9,8,8,2012,2015,2014,2.0,11.0,3.875,5,4,14.875,0,146.203125,1,4.5,0,2012,0
1,nNo_wuamd5XDSZiMMmXKDQ,2013,0,5,1,3.45,1,2,3,65,20,20,2013,2015,2014,6.66666666667,10.0,3.55,4,3,20.95,0,71.5332221985,1,4.5,0,2012,0
1,BgU3qqt-891kxh4NZ0ck3g,2009,0,0,0,4.0,1,1,3,25,5,5,2012,2014,2012,1.66666666667,5.0,4.2,5,4,12.8,0,52.625,1,4.5,0,2012,0
1,UuV4f20TMLIORUcu88eQSw,2011,0,2,0,4.0,0,0,3,1,1,1,2011,2011,2011,1.0,0.0,4.0,4,0,0.0,0,69,1,4.5,0,2012,0
1,ANPKp70hRcPTHJQpmRb3Mw,2013,0,2,0,4.07,1,1,3,9,2,2,2015,2015,2015,2.0,0.0,4.0,3,2,2.0,0,140.0,1,4.5,0,2012,0
1,jKGrBJQW9aRYZSl3o4G55A,2015,0,0,0,5.0,0,0,3,6,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,54,1,4.5,0,2012,0
1,HHZIIkdCFnS_0Oo8IE4RCQ,2011,0,9,1,4.02,3,3,3,43,1,1,2014,2014,2014,1.0,0.0,5.0,5,0,0.0,0,31,1,4.5,0,2012,0
1,B1kUxAfIAUDpn6ABRcsqKg,2013,0,22,1,3.97,6,11,3,36,15,15,2013,2013,2013,15.0,0.0,3.73333333333,3,4,16.9333333333,0,67.2866210938,1,4.5,0,2012,0
1,AOMCATfCIqpWe5AjjOsgBw,2012,0,4,0,3.14,1,1,3,1,1,1,2015,2015,2015,1.0,0.0,4.0,4,0,0.0,0,8,1,4.5,0,2012,0
1,QLxlP_por5ooiSGE43cvpQ,2012,0,6,0,3.8,0,0,3,2,4,4,2015,2015,2015,4.0,0.0,3.75,4,3,4.75,0,80.625,1,4.5,0,2012,0
1,U_v9xa1juRg8JH0Ad7oqeA,2013,0,0,0,3.67,0,0,3,2,2,2,2013,2014,2013,1.0,1.0,3.0,1,4,8.0,0,125.5,1,4.5,0,2012,0
1,z5RVjS_ammYvmYw3L7Aeig,2015,0,0,0,3.67,0,0,3,1,2,2,2015,2015,2015,2.0,0.0,3.0,1,4,8.0,0,59.5,1,4.5,0,2012,0
1,98GcVoVB3hIA2mKL-ctAhQ,2011,0,5,0,1.4,1,2,3,4,1,1,2015,2015,2015,1.0,0.0,2.0,2,0,0.0,0,71,1,4.5,0,2012,0
1,4VL4atzX4gUiOF45uuPydA,2009,4,3,2,3.17,7,10,3,522,5,5,2013,2015,2013,1.66666666667,4.0,1.8,1,2,2.8,0,185.0625,1,4.5,0,2012,0
1,vUUX8GGbqzwvdR0EuwQ9ug,2010,0,0,1,3.8,1,1,3,107,7,7,2010,2014,2011,1.4,11.0,3.85714285714,4,2,2.85714285714,0,397.34375,1,4.5,0,2012,0
1,zn9bOAiqawLm5zqWwKHupg,2014,0,0,0,4.0,0,0,3,1,2,2,2015,2015,2015,2.0,0.0,3.5,3,1,0.5,0,51.0,1,4.5,0,2012,0
1,q2W99sYSvk1xyoAQzBTvvQ,2013,0,1,0,3.0,0,0,3,15,5,5,2013,2014,2013,2.5,2.0,3.2,4,4,10.8,0,64.8125,1,4.5,0,2012,0
0,vg76can0fkN_r_FvharTFQ,2014,0,0,0,4.17,0,0,3,2,2,2,2014,2014,2014,2.0,0.0,4.0,4,0,0.0,0,23.0,1,4.5,0,2012,0
1,gbAhKi-xIqSrP7qWdmu5Yw,2013,0,1,0,4.0,0,0,3,4,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,5,1,4.5,0,2012,0
1,7LGi9nRdzkeFrFSkk0E3-A,2015,0,0,0,5.0,0,0,3,1,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,44,1,4.5,0,2012,0
1,bIzYS_Ces4_cs5Ub8VnU6w,2012,0,0,0,5.0,0,0,3,0,2,2,2015,2015,2015,2.0,0.0,5.0,5,0,0.0,0,109.0,1,4.5,0,2012,0
1,ZYozfz8ccYdiBqxK4VISVg,2012,0,1,0,4.0,0,0,3,2,1,1,2012,2012,2012,1.0,0.0,3.0,3,0,0.0,0,139,1,4.5,0,2012,0
1,ephXssH8p17VrKbdsV6OFw,2013,0,5,0,3.0,0,0,3,13,3,3,2013,2014,2013,1.5,1.0,3.66666666667,5,4,10.6666666667,0,40.25,1,4.5,0,2012,0
1,5W2L1ZLvm7lMgnjrQHn6vQ,2012,0,0,0,4.29,0,0,3,27,2,2,2015,2015,2015,2.0,0.0,3.0,1,4,8.0,0,114.5,1,4.5,0,2012,0
1,ukoOcheuNKav7PEiqEp7Lg,2014,0,0,0,3.67,0,0,3,6,2,2,2014,2015,2014,1.0,1.0,3.0,1,4,8.0,0,68.5,1,4.5,0,2012,0
1,8IsDUZqYHaI5ie7iVGPZvQ,2015,0,0,0,5.0,0,0,3,1,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,53,1,4.5,0,2012,0
1,qR_54kfg0uucaTYz93Q0jg,2010,0,4,0,2.67,0,0,3,11,2,2,2013,2014,2013,1.0,1.0,3.5,2,3,4.5,0,90.5,1,4.5,0,2012,0
1,L_hG-g5KWgp3-1skWGX8oQ,2009,0,2,0,4.64,0,0,3,34,1,1,2011,2011,2011,1.0,0.0,5.0,5,0,0.0,0,21,1,4.5,0,2012,0
1,c-PWxmjohIk2CHD7Yrw3Aw,2013,0,2,0,1.0,1,1,3,0,1,1,2014,2014,2014,1.0,0.0,1.0,1,0,0.0,0,1,1,4.5,0,2012,0
1,pAYSlNITmCI8zwx04DtRjg,2014,0,0,0,5.0,0,0,3,0,1,1,2015,2015,2015,1.0,0.0,5.0,5,0,0.0,0,68,1,4.5,0,2012,0
0,oZSp2uKrog-t2dDZh1h-hQ,2014,0,0,0,4.27,0,0,3,5,8,8,2014,2014,2014,8.0,0.0,4.125,4,2,4.875,0,34.34375,1,4.5,0,2012,0
1,ZrgoyNBElvOn_2GRZOL0SA,2010,0,1,0,3.38,1,1,3,33,3,3,2010,2011,2010,1.5,2.0,4.33333333333,4,1,0.666666666667,0,58.0,1,4.5,0,2012,0
1,BvvsWwGkWVIjbzcajuo98g,2015,0,2,0,1.0,0,0,3,0,1,1,2015,2015,2015,1.0,0.0,1.0,1,0,0.0,0,67,1,4.5,0,2012,0
1,pVsJSYX1ThoynSkCRt78UA,2012,0,1,0,5.0,0,0,3,3,1,1,2012,2012,2012,1.0,0.0,5.0,5,0,0.0,0,15,1,4.5,0,2012,0
1,oxXOvyCi5122MyhUOgbUcw,2015,0,4,0,5.0,0,0,3,1,2,2,2015,2015,2015,2.0,0.0,5.0,5,0,0.0,0,25.5,1,4.5,0,2012,0
1,dYC4SlOLZWFHdUdW1do9qA,2013,0,0,0,5.0,0,0,3,1,2,2,2013,2015,2014,0.666666666667,2.0,5.0,5,0,0.0,0,122.5,1,4.5,0,2012,0
1,VdscfoPphQmwctW8XqzTOw,2013,0,0,0,3.0,0,0,3,9,1,1,2013,2013,2013,1.0,0.0,1.0,1,0,0.0,0,197,1,4.5,0,2012,0
0,a7XE03HTLqaWYUhewb6xJA,2010,0,45,0,3.23,0,0,3,8,8,8,2010,2015,2013,1.33333333333,37.0,3.375,4,4,17.875,0,48.7734375,1,4.5,0,2012,0
1,o-Iibv8K6hdoTh_y3I3WsA,2012,0,0,0,2.33,0,0,3,0,1,1,2012,2012,2012,1.0,0.0,1.0,1,0,0.0,0,195,1,4.5,0,2012,0
